10101012,Em consultório (no horário normal ou preestabelecido),,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
10101020,Em domicílio,,,3A,88,,0,0,0,0,0,,,"R$ 88,00"
10101039,Em pronto socorro,,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
10102019,Visita hospitalar a paciente internado,,,2A,40,,0,0,0,0,0,,,"R$ 40,00"
10103015,Atendimento ao recém-nascido em berçário,,,3C,128,,0,0,0,0,0,,,"R$ 128,00"
10103031,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco),,,5B,220,,0,0,0,0,0,,,"R$ 220,00"
10103023,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco),,,4C,189,,0,0,0,0,0,,,"R$ 189,00"
10104011,Atendimento do intensivista diarista (por dia e por paciente),,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
10104020,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente),,,3C,128,,0,0,0,0,0,,,"R$ 128,00"
10105077,"Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco",,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
10105050,"Transporte extra-hospitalar aéreo ou aquático de pacientes graves, 1ª hora - a partir do deslocamento do médico",,,4A,153,,0,0,0,0,0,,,"R$ 153,00"
10105069,"Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional",,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
10105034,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico",,,3C,128,,0,0,0,0,0,,,"R$ 128,00"
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base",,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
10106014,Aconselhamento genético,,,4A,153,,0,0,0,0,0,,,"R$ 153,00"
10106146,Atendimento ambulatorial em puericultura,,,3B,112,,0,0,0,0,0,,,"R$ 112,00"
10106030,Atendimento ao familiar do adolescente,,,1C,30,,0,0,0,0,0,,,"R$ 30,00"
10106049,Atendimento pediátrico a gestantes (3º trimestre),,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
10106111,"Exame de aptidão física e mental para concessão de benefícios fiscais conferidos pela Secretaria da Receita Federal e da Fazenda Estadual, a que fazem jus portadores de mobilidade reduzida, com necessidade de adaptação veicular",,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
10106120,"Exame de aptidão física e mental para ratificação, quando a condição física e mental assim o requerer, dos exames realizados pelo órgão previdenciário, incluindo restrição ou liberação para a condução de veículo automotor",,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
10106065,"Exame de aptidão física e mental, ou em portadores de mobilidade reduzida, para fins de inscrição ou renovação de CNH (Carteira Nacional de Habilitação)",,,2B,54,,0,0,0,0,0,,,"R$ 54,00"
